,max_ti,dur,r2,slope,ltl
u:hiSf,25.0,228254.0,0.7880258336402942,9.801835668964135e-05,enes
u:hNeU,27.0,867170.0,0.8561518213483031,2.521139045209132e-05,iten
u:iS0z,13.0,589772.0,0.839928350898816,1.7487486350587536e-05,enes
u:i5fX,7.0,284003.0,0.7408850187129651,2.178138571183696e-05,ende
u:hD1T,21.0,997038.0,0.8683140457979703,2.269665843108369e-05,enes
u:h4-b,18.0,589036.0,0.5872486410071339,1.6237213999588765e-05,pten
u:gacp,9.0,521697.0,0.9072659929971758,1.2900256821678346e-05,enfr
u:fuCC,19.0,166596.0,0.6545001668412908,6.305569247907874e-05,ende
u:hM7Q,31.0,823445.0,0.9535283486392543,2.9139377561510824e-05,enes
u:iCax,26.0,957035.0,0.8872804880585649,2.6026038645484376e-05,esen
u:hhaO,106.0,894977.0,0.9370358854610569,0.00011313520760015978,enes
u:hSL0,4.0,852232.0,0.8022280191375069,3.494817504919482e-06,esen
u:gaFE,2.0,1257.0,0.9994515837653616,0.0015902173170491032,enes
u:ikTh,3.0,1645.0,0.9648871484380056,0.0016845096865188644,enfr
u:hSTb,13.0,645967.0,0.6877116322910207,1.5221648394103547e-05,esen
u:hvi1,40.0,922229.0,0.6623134602630876,5.848572756176018e-05,enes
u:inSi,34.0,960365.0,0.8958200206485725,2.657608463710665e-05,enes
u:b67w,3.0,676457.0,0.6010956590807609,2.9614533301970947e-06,esen
u:i7qf,19.0,302329.0,0.4494538932587935,3.6574136066806184e-05,enes
u:gHYf,13.0,312967.0,0.5240329640761763,2.4545806948455935e-05,enes
u:gzrt,3.0,790.0,0.996886879228894,0.0038519585750730057,enes
u:ikb4,18.0,348298.0,0.6589377240945992,2.7790635982320982e-05,esen
u:h3sD,17.0,239788.0,0.7275091044105897,7.346690571192765e-05,pten
u:iNVp,32.0,697166.0,0.7481566145407217,3.801434180020823e-05,enes
u:ihBV,19.0,729595.0,0.6945119764384357,2.3232856056192798e-05,esen
u:iEnW,14.0,163636.0,0.8926797697960149,6.25135582691819e-05,esen
u:gaBA,15.0,533744.0,0.6070669745475318,2.360335363771921e-05,enes
u:hZpd,13.0,3492.0,0.9837123155163603,0.0035364366417251526,esen
u:ihpd,5.0,427092.0,0.916726171930311,9.837782487275862e-06,esen
u:h_hw,4.0,3340.0,0.9256158382759241,0.0010322469480048221,esen
u:hdYr,5.0,793470.0,0.8094958108216389,5.4078262437315296e-06,enfr
u:iwQN,20.0,440255.0,0.9198968736774723,3.21677305929228e-05,esen
u:hP0m,10.0,605397.0,0.8641079310439864,1.0795412887713053e-05,esen
u:iw6R,21.0,953475.0,0.7288818463832453,1.5577415133598728e-05,pten
u:iJEV,10.0,423749.0,0.7014733364609653,1.3020573509294155e-05,enfr
u:h8oC,5.0,2647.0,0.6924234238073016,0.0015898983030411045,ende
u:iZ1v,26.0,494752.0,0.8862963266894802,6.54387418228186e-05,pten
u:iMh6,32.0,947573.0,0.9047789563512472,3.224034300430095e-05,esen
u:hF1i,10.0,780377.0,0.6633359335944633,8.655313821357983e-06,enes
u:iTXL,18.0,789728.0,0.6778251316796454,1.4805298950501457e-05,enit
